time_sec,q_ref_axis_e,q_ref_axis_d,q_ref_axis_c,q_ref_axis_b,qdot_ref_axis_e,qdot_ref_axis_d,qdot_ref_axis_c,qdot_ref_axis_b
10.120000,3.779012,0.991005,0.691005,2.391005,0.030548,0.013092,0.013092,0.013092
10.160000,3.780213,0.991520,0.691520,2.391520,0.029494,0.012640,0.012640,0.012640
10.200000,3.781372,0.992016,0.692016,2.392016,0.028448,0.012192,0.012192,0.012192
10.240000,3.782489,0.992495,0.692495,2.392495,0.027412,0.011748,0.011748,0.011748
10.280000,3.783565,0.992956,0.692956,2.392956,0.026385,0.011308,0.011308,0.011308
10.320000,3.784600,0.993400,0.693400,2.393400,0.025368,0.010872,0.010872,0.010872
10.360000,3.785594,0.993826,0.693826,2.393826,0.024362,0.010441,0.010441,0.010441
10.400000,3.786549,0.994235,0.694235,2.394235,0.023368,0.010015,0.010015,0.010015
10.440000,3.787464,0.994627,0.694627,2.394627,0.022385,0.009594,0.009594,0.009594
10.480000,3.788340,0.995003,0.695003,2.395003,0.021415,0.009178,0.009178,0.009178
10.520000,3.789177,0.995362,0.695362,2.395362,0.020458,0.008768,0.008768,0.008768
10.560000,3.789977,0.995704,0.695704,2.395704,0.019515,0.008364,0.008364,0.008364
10.600000,3.790739,0.996031,0.696031,2.396031,0.018586,0.007965,0.007965,0.007965
10.640000,3.791464,0.996342,0.696342,2.396342,0.017672,0.007574,0.007574,0.007574
10.680000,3.792153,0.996637,0.696637,2.396637,0.016773,0.007188,0.007188,0.007188
10.720000,3.792806,0.996917,0.696917,2.396917,0.015890,0.006810,0.006810,0.006810
10.760000,3.793424,0.997182,0.697182,2.397182,0.015024,0.006439,0.006439,0.006439
10.800000,3.794008,0.997432,0.697432,2.397432,0.014175,0.006075,0.006075,0.006075
10.840000,3.794558,0.997668,0.697668,2.397668,0.013344,0.005719,0.005719,0.005719
10.880000,3.795076,0.997890,0.697890,2.397890,0.012532,0.005371,0.005371,0.005371
10.920000,3.795561,0.998098,0.698098,2.398098,0.011738,0.005031,0.005031,0.005031
10.960000,3.796015,0.998292,0.698292,2.398292,0.010965,0.004699,0.004699,0.004699
11.000000,3.796439,0.998474,0.698474,2.398474,0.010212,0.004376,0.004376,0.004376
11.040000,3.796832,0.998642,0.698642,2.398642,0.009480,0.004063,0.004063,0.004063
11.080000,3.797197,0.998799,0.698799,2.398799,0.008769,0.003758,0.003758,0.003758
11.120000,3.797534,0.998943,0.698943,2.398943,0.008081,0.003463,0.003463,0.003463
11.160000,3.797844,0.999076,0.699076,2.399076,0.007417,0.003179,0.003179,0.003179
11.200000,3.798128,0.999198,0.699198,2.399198,0.006775,0.002904,0.002904,0.002904
11.240000,3.798386,0.999308,0.699308,2.399308,0.006158,0.002639,0.002639,0.002639
11.280000,3.798621,0.999409,0.699409,2.399409,0.005567,0.002386,0.002386,0.002386
11.320000,3.798832,0.999499,0.699499,2.399499,0.005001,0.002143,0.002143,0.002143
11.360000,3.799021,0.999581,0.699581,2.399581,0.004461,0.001912,0.001912,0.001912
11.400000,3.799189,0.999653,0.699653,2.399653,0.003948,0.001692,0.001692,0.001692
11.440000,3.799337,0.999716,0.699716,2.399716,0.003464,0.001484,0.001484,0.001484
11.480000,3.799467,0.999771,0.699771,2.399771,0.003007,0.001289,0.001289,0.001289
11.520000,3.799578,0.999819,0.699819,2.399819,0.002580,0.001106,0.001106,0.001106
11.560000,3.799674,0.999860,0.699860,2.399860,0.002183,0.000936,0.000936,0.000936
11.600000,3.799754,0.999894,0.699894,2.399894,0.001817,0.000779,0.000779,0.000779
11.640000,3.799819,0.999923,0.699923,2.399923,0.001482,0.000635,0.000635,0.000635
11.680000,3.799873,0.999945,0.699945,2.399945,0.001179,0.000505,0.000505,0.000505
11.720000,3.799914,0.999963,0.699963,2.399963,0.000909,0.000390,0.000390,0.000390
11.760000,3.799946,0.999977,0.699977,2.399977,0.000672,0.000288,0.000288,0.000288
11.800000,3.799968,0.999986,0.699986,2.399986,0.000470,0.000201,0.000201,0.000201
11.840000,3.799984,0.999993,0.699993,2.399993,0.000303,0.000130,0.000130,0.000130
11.880000,3.799993,0.999997,0.699997,2.399997,0.000172,0.000074,0.000074,0.000074
11.920000,3.799998,0.999999,0.699999,2.399999,0.000077,0.000033,0.000033,0.000033
11.960000,3.800000,1.000000,0.700000,2.400000,0.000019,0.000008,0.000008,0.000008
